country,corruption,democracy,freedom,GDP_UN,HDI,homicide,life_expectancy,religion_important,log_pop
Pakistan,-0.9118422674395925,-0.7487355527954445,-0.8605902342572486,-0.7004736170450518,-1.3585309489563981,-0.18638453350942394,-0.966501144483802,0.8762609233111304,1.8213431026859928
Azerbaijan,-0.8088040912189186,-1.5202577987780619,-1.800339985409312,-0.5614414334827178,0.013795184952950398,-0.3922756714459409,-0.16992611292651777,-1.238985618289175,-0.3254880496344845
Malawi,-0.5512086506672338,-0.07187861306836237,0.1487706095727455,-0.7257605248955983,-1.8048700313443906,-0.4407206450780626,-1.3857511610928988,1.1556331080507931,0.10615121409329172
Russia,-0.8603231793292556,-1.2220620840731238,-1.452284522019659,-0.28823288561920535,0.4667960446900166,0.3343989330358837,-0.18390111348015353,-1.4385371788175056,1.545058821120645
Dominican Republic,-0.8088040912189186,0.20265077507269183,0.1835761559117108,-0.4209891518345741,0.013795184952950398,0.5524013143804312,-0.01620110683651643,0.6767093627827995,-0.27897057174898504
Liberia,-0.8603231793292556,-0.27067575620498774,-0.06006266846104639,-0.731440917238837,-1.824855363391614,-0.2590519939576064,-1.4137011622001723,0.9560815475224622,-0.8222559943045514
Paraguay,-0.8088040912189186,0.13638506069381642,0.11396506323378017,-0.5271758409606006,-0.172734580821136,0.20117525554754923,0.011748894270757083,0.8762609233111304,-0.5737483398851208
Angola,-0.8603231793292556,-1.0563977981259358,-1.0694235122910405,-0.6670784072206889,-1.1520158511350889,-0.07738334283715023,-1.818976178255631,0.7166196748884657,0.48059502977675994
Uganda,-0.9633613555499295,-0.45053983809050596,-0.9650068732741445,-0.7151785036755326,-1.3985016130508452,0.6129575314205833,-1.5115261660756274,0.9161712354167965,0.7113464451076462
Cameroon,-0.9633613555499295,-1.4776584109630708,-1.5915067073755202,-0.6851273957951731,-1.2719278434184302,-0.48916561871018427,-2.0845011887747265,1.0359021717337946,0.33591540022165123
Bangladesh,-1.0148804436602665,0.04645301975105753,-0.7909791415793179,-0.6622683975752045,-0.8122652063322886,-0.3680531846298801,-0.2258261151410648,1.1955434201564592,1.6228777873678482
Mozambique,-1.0148804436602665,-1.127396777817588,-0.6517569562234568,-0.7333649210970307,-1.984738019769402,-0.23482950714154557,-1.8609011799165414,0.6367990506771333,0.4477783655773175
Guatemala,-1.0663995317706034,-0.43634004215217587,-0.33850703917276886,-0.5554861834454514,-0.6057501085109787,2.066306740384233,0.011748894270757083,0.7166196748884657,0.06569708033432471
Iran,-1.0663995317706034,-1.747454533791348,-1.5915067073755202,-0.24164450648151387,0.1936631733779623,-0.3559419412218497,0.34714890755803524,0.1179649933034735,1.1500783140874953
Tajikistan,-1.0663995317706034,-1.8705194319235448,-1.8699510780872426,-0.7155449806009029,-0.5724412217656061,-0.4649431318941234,-0.43545112344561315,0.5968887385714671,-0.37797725192810394
Central African Republic,-1.1179186198809405,-2.163981881315706,-1.8351455317482772,-0.7318990133955497,-2.377782883364798,1.7756368985915032,-2.92300122199292,0.9560815475224622,-0.8500152362980293
Nigeria,-1.1179186198809405,-0.8481341243637571,-0.5821458635455261,-0.658420389858817,-1.4318104997962178,3.5196559493478823,-2.7273512142420073,1.0359021717337946,1.7690673457168544
Iraq,-1.1694377079912774,-1.0753308593770432,-1.139034604968971,-0.5640067719603095,-0.532470557671159,0.5645125577884615,-0.5053261262137959,0.556978426465801,0.6282679243415679
Cambodia,-1.1694377079912774,-1.3214606556414366,-1.3130623366637977,-0.684623490022789,-1.0654127455971203,-0.4407206450780626,-0.617126130642888,1.0359021717337946,0.0207396662306758
Zimbabwe,-1.1694377079912774,-1.2930610637647757,-1.1738401513079364,-0.6867765419593392,-1.218633624625834,0.24962022917967092,-1.777051176594722,0.7166196748884657,-0.062051369616985534
Haiti,-1.3239949723222884,-0.7913349406104355,-0.8605902342572486,-0.6916323612204949,-1.6250020429193786,0.15273028191542765,-1.427676162753808,0.5968887385714671,-0.24561089831038338
Nicaragua,-1.3239949723222884,-1.0847973900025967,-1.1042290586300059,-0.6666661206796474,-0.6257354405582023,0.2132864989555797,0.0396988953780306,-0.0017659430135250087,-0.625129139805499
Sudan,-1.3239949723222884,-1.586523513156937,-1.5567011610365549,-0.6891128323585745,-1.6250020429193786,-0.04104961261305902,-1.2460011555565331,0.9161712354167965,0.6879587360782963
Burundi,-1.3755140604326253,-1.775854125668009,-1.6611178000534508,-0.7408318884514493,-2.1379588987981157,0.0800628214672451,-1.7630761760410851,1.1157227959451268,-0.270860869374223
Turkmenistan,-1.3755140604326253,-1.9746512688046345,-2.0787843561210346,-0.428501928804664,-0.2593376863591047,-0.15005080328533266,-0.8407261395010721,0.39733717804313673,-0.6927509101549343
Yemen,-1.5300713247636362,-1.865786166610768,-1.7655344390703467,-0.7110098286494462,-1.8914731368823592,0.164841525323458,-1.134201151127441,1.1556331080507931,0.41948933620521617
Venezuela,-1.6331095009843102,-1.4823916762758478,-1.6611178000534508,-0.5826054759228491,-0.28598479575540275,3.7861033043245516,-0.2957011179092476,0.35742686593747053,0.4038248170794627
